threshold,loss,sample_count,labels,class_names,class_coverage_complete,missing_classes,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,confusion_matrix,class_metrics,roc_auc,pr_auc,sensitivity,specificity,positive_predictive_value,negative_predictive_value,brier_score,calibration_error
0.35,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8753709198813057,0.7981014968966775,0.8652018338365202,0.7981014968966775,0.8232517482517483,0.8691052271170965,"[[168, 96], [30, 717]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8484848484848485, 'recall': 0.6363636363636364, 'f1': 0.7272727272727273, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8819188191881919, 'recall': 0.9598393574297188, 'f1': 0.9192307692307692, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9598393574297188,0.6363636363636364,0.8819188191881919,0.8484848484848485,0.09200099398405014,0.027125194205287903
0.36,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8763600395647874,0.799995436290617,0.8661255786320766,0.799995436290617,0.8249209979814829,0.8702586933915851,"[[169, 95], [30, 717]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8492462311557789, 'recall': 0.6401515151515151, 'f1': 0.7300215982721382, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8830049261083743, 'recall': 0.9598393574297188, 'f1': 0.9198203976908275, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9598393574297188,0.6401515151515151,0.8830049261083743,0.8492462311557789,0.09200099398405014,0.027125194205287903
0.37,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8753709198813057,0.799326092247779,0.8639303329223181,0.799326092247779,0.8237876809348856,0.8693355866224923,"[[169, 95], [31, 716]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.845, 'recall': 0.6401515151515151, 'f1': 0.728448275862069, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8828606658446363, 'recall': 0.9585006693440429, 'f1': 0.9191270860077022, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9585006693440429,0.6401515151515151,0.8828606658446363,0.845,0.09200099398405014,0.027125194205287903
0.38,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8753709198813057,0.8005506875988804,0.8626956638803559,0.8005506875988804,0.824318435076183,0.8695631142704477,"[[170, 94], [32, 715]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8415841584158416, 'recall': 0.6439393939393939, 'f1': 0.7296137339055794, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8838071693448702, 'recall': 0.9571619812583668, 'f1': 0.9190231362467867, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9571619812583668,0.6439393939393939,0.8838071693448702,0.8415841584158416,0.09200099398405014,0.027125194205287903
0.39,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8763600395647874,0.8036692223439211,0.8624402348241844,0.8036692223439211,0.8264930521708449,0.8709317143687678,"[[172, 92], [33, 714]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8390243902439024, 'recall': 0.6515151515151515, 'f1': 0.7334754797441365, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8858560794044665, 'recall': 0.9558232931726908, 'f1': 0.9195106245975532, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9558232931726908,0.6515151515151515,0.8858560794044665,0.8390243902439024,0.09200099398405014,0.027125194205287903
0.4,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8773491592482691,0.8080123524400633,0.8611111111111112,0.8080123524400633,0.8291466326497237,0.8725019778026052,"[[175, 89], [35, 712]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8333333333333334, 'recall': 0.6628787878787878, 'f1': 0.7383966244725738, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8888888888888888, 'recall': 0.9531459170013387, 'f1': 0.9198966408268734, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9531459170013387,0.6628787878787878,0.8888888888888888,0.8333333333333334,0.09200099398405014,0.027125194205287903
0.41,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8783382789317508,0.8099062918340026,0.8620616113744075,0.8099062918340026,0.8307719525056987,0.8736348921769359,"[[176, 88], [35, 712]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8341232227488151, 'recall': 0.6666666666666666, 'f1': 0.7410526315789474, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.89, 'recall': 0.9531459170013387, 'f1': 0.9204912734324499, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9531459170013387,0.6666666666666666,0.89,0.8341232227488151,0.09200099398405014,0.027125194205287903
0.42,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8773491592482691,0.810461543142266,0.8589717280924964,0.810461543142266,0.830137446614781,0.8729202931475666,"[[177, 87], [37, 710]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8271028037383178, 'recall': 0.6704545454545454, 'f1': 0.7405857740585774, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.890840652446675, 'recall': 0.9504685408299867, 'f1': 0.9196891191709845, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9504685408299867,0.6704545454545454,0.890840652446675,0.8271028037383178,0.09200099398405014,0.027125194205287903
0.43,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8793273986152325,0.8142494219301448,0.8608927323549965,0.8142494219301448,0.8333576523994812,0.8751719413301927,"[[179, 85], [37, 710]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8287037037037037, 'recall': 0.678030303030303, 'f1': 0.7458333333333333, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8930817610062893, 'recall': 0.9504685408299867, 'f1': 0.920881971465629, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9504685408299867,0.678030303030303,0.8930817610062893,0.8287037037037037,0.09200099398405014,0.027125194205287903
0.44,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8793273986152325,0.8142494219301448,0.8608927323549965,0.8142494219301448,0.8333576523994812,0.8751719413301927,"[[179, 85], [37, 710]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8287037037037037, 'recall': 0.678030303030303, 'f1': 0.7458333333333333, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8930817610062893, 'recall': 0.9504685408299867, 'f1': 0.920881971465629, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9504685408299867,0.678030303030303,0.8930817610062893,0.8287037037037037,0.09200099398405014,0.027125194205287903
